ID,Task,Status,Deadline,User
6,Cuisine,TODO,2025-09-12,/
13,Salon,TODO,2025-09-10,/
9,SDB du bas,TODO,2025-09-07,/
5,Cuisine,TODO,2025-09-05,/
12,Salon,TODO,2025-09-03,/
8,SDB du bas,TODO,2025-08-31,/
4,Cuisine,TODO,2025-08-29,/
11,Salon,TODO,2025-08-27,/
7,SDB du bas,TODO,2025-08-24,/
3,Cuisine,SKIPPED,2025-08-22,Mathilde
10,Salon,DONE,2025-08-20,/
2,SDB du bas,DONE,2025-08-17,JM
1,Salon,TODO,2025-08-13,Axel
14,SDB du bas,TODO,2025-09-14,/
